Name,English,Translation,Restrictions,Comment
Breakpoint_Delete,Delete Breakpoint,ブレークポイントの削除,,delete breakpoint menu option
Breakpoint_GotoCode,Go To Code,コードへジャンプ,,breakpoint show code menu option
Breakpoint_MenuToggle,Toggle Breakpoint,ブレークポイントの切り替え,,toggle breakpoint menu option
Breakpoint_Help,"There are no breakpoints to display.\nTo place one, press F9 on the desired line in a code editor.",表示するブレークポイントがありません。\nブレークポイントを配置するには、コードエディターの目的の行で F9 キーを押します。,,Breakpoint help text to be displayed when there are no breakpoints
Build_FailedCompile,ERROR: Project failed to compile: error code {0},エラー: プロジェクトをコンパイルできませんでした: エラーコード {0},,Error message when the project fails to compile
Build_FailedDeploy,ERROR: Project failed to deploy: error code {0},エラー: プロジェクトをデプロイできませんでした: エラーコード {0},,Error message when the project fails to deploy
Build_FailedRun,ERROR: Project failed to run: error code {0},エラー: プロジェクトを実行できませんでした: エラーコード {0},,Error message when the project fails to run
Button_Add,Add,追加,,Add button
Button_Cancel,Cancel,キャンセル,,cancel button
Button_Delete,Delete,削除,,Delete button
Button_Done,Done,完了,,Done button
Button_Import,Import,インポート,,import button label
Button_Manage,Manage,管理,,Manage button
Button_No,No,いいえ,,No
Button_OK,OK,OK,,ok button
Button_Rename,Rename,名前の変更,,Rename button
Button_Resize,Resize,サイズ変更,,resize button label
Button_Scale,Scale,スケール,,Image editor - scale button
Button_Yes,Yes,はい,,Yes
Button_Next,Next,次へ,,next button label
Button_Create,Create,作成,,create button label
Button_Apply,Apply,適用,,apply button label
Button_Remove_All,Remove All,すべて削除,,button label - remove all
Dialog_ResetLayout_Title,Reset Layout,レイアウトのリセット,,Reset layout dialog title
Dialog_ResetLayout,Resetting the project layout will close any open resources. Are you sure you want to reset the layout?,プロジェクト レイアウトをリセットすると、現在開いているすべてのリソースが閉じられます。レイアウトをリセットしますか？,,Dialog message reset layout
Dialog_ResetLayout_ChoicePref,Automatic response to resetting the project layout,プロジェクト レイアウトをリセットするかどうかの自動制御,,Default reset layout dialog choice
LicenseNotification_TrialExpiring,Your trial is due to expire in {0} days,試用期間はあと {0} 日で終了します,,Trial licence expiry notification
LicenseNotification_Expiring,Your licence is due to expire in {0} days,ライセンスの有効期限はあと {0} 日です,,Licence expiry notification
LicenseNotification_BuyNow,Buy Now,購入する,,Buy Now label
LicenseNotification_ButtonBuyNow,BUY NOW,購入する,,BUY NOW label
IDE_License_Label,Your licence is due to expire in {0} days,ライセンスの有効期限はあと {0} 日です,,IDE licence label
IDE_TrialLicense_Label,Your trial is due to expire in {0} days,試用期間はあと {0} 日で終了します,,IDE trial licence label
Certificate_GenerateSucceeded,Successfully created certificate file: {0},証明書ファイルが正常に作成されました: {0},,certificate create success
Certificate_GenerateFailed,Failed to create certificate file: {0},証明書ファイルを作成できませんでした: {0},,certificate create failed
Certificate_FileAlreadyExists,Certificate file '{0}' already exists; please choose a new filename,証明書ファイル '{0}' はすでに存在しています。新しいファイル名を入力してください。,,certificate file exists
Certificate_RequiredFieldsMissing,Name and Password fields must be set,名前とパスワードを入力してください,,create certificate missing fields
Certificate_FileMissing,Unable to find certificate file '{0}',証明書ファイル '{0}' が見つかりません,,certificate file missing
Certificate_Test_Title,Certificate Check,証明書の検証,,certificate test title
Certificate_PasswordFail,Password is NOT valid for certificate,パスワードが無効です,,certificate password fail
Certificate_PasswordOK,Password is valid for certificate,有効なパスワードです,,certificate password ok
CertProperties_Heading,Set .pem certificate file and password,.pem 証明書ファイルとパスワードの設定,,certificate properties heading
CertProperties_Heading2,(you can use an existing GameMaker:Studio marketplace certificate),(既存の GameMaker: Studio Marketplace の証明書が使用できます),,certificate properties heading 2
CertProperties_CertificateFile,Certificate File:,証明書ファイル:,,certificate file label
CertProperties_CertificatePassword,Certificate Password:,証明書のパスワード:,,certificate password label
CertProperties_Check,Check,検証,,certificate properties check certificate button label
CertProperties_CheckTooltip,Check that the password is valid for the selected certficate file,選択した証明書ファイルへ有効なパスワードであるかどうかを確認してください,,certificate properties check tooltip
CertProperties_CreateInfoLabel,"If you don't have a certificate, you can create one:",証明書がない場合は作成します:,,certificate properties create info
CertProperties_CreateNewCertificate,Create new certificate,証明書の新規作成,,certificate properties create new certificate button label
CertProperties_CreateCertificate,Create Certificate,証明書の作成,,certificate properties create certificate button label
CertProperties_EnterCertDetails,Enter new certificate details:,新しい証明書の情報を入力してください:,,certificate properties enter certificate details
CertProperties_PublisherName,Publisher Name:,パブリッシャー名:,,cert properties author name
CertProperties_CreatePublisherAccount,Create Publisher Account,パブリッシャー アカウントの作成,,create publisher account button label
CodeWindow_2Column,2 columns,2 カラム,,Document window layout menu option - 2columns
CodeWindow_3Column,3 columns,3 カラム,,Document window layout menu option - 3 columns
CodeWindow_Fullscreen,Fullscreen workspace tab,フルスクリーン ワークスペースのタブ,,Document window layout menu option - fullscreen workspace tab
CodeWindow_Menu_Help,Keyword help,キーワードのヘルプ,,Code window help menu option
CodeWindow_Menu_ShowResource,Show resource,リソースの表示,,Code window show resource menu option
CodeWindow_SingleColumn,Single pane,シングル ペイン,,Document window layout menu option - 1 column
CodeWindow_Title,Code,コード,,fullscreen code editor workspace tab title
CodeWindow_RestoreToWorkspace,Restore to Workspace,ワークスペースへ戻す,,code editor restore to workspace context menu option
CodeWindow_GotoObject,Go to Object,オブジェクトへジャンプ,,code editor go to object context menu option
CodeWindow_AddEvent,Add/Open Event,イベントを追加/開く,,code editor event script add event context menu option
CodeWindow_OpenInheritedEvent,Open Inherited Event,継承されたイベントを開く,,open inherited event context menu option
GotoLine_Title,Go To Line,行へジャンプ,,goto line dialog title
GotoLine_Label,Line Number ({0} - {1}),行番号 ({0} - {1}),,goto line label
CompileErrors,Compile Errors,コンパイル エラー,,Compile Errors tab title
CompileErrors_NoErrors,There are no compile errors to show!,表示するコンパイル エラーはありません！,,No compile errors message
Configuration,Configuration,構成,,Configuration
Configuration_Select,Select Configuration,構成の指定,,Window title for config select
Configurations,Configurations,構成,,Configurations
Configurations_Add,Add New Configuration,構成の新規追加,,Add configuration window title
Configurations_Delete,Are you sure you want to delete configuration '{0}'?,構成 '{0}' を削除しますか？,,Confirm for deleting a configuration
Configurations_Delete_OtherConfigs,Are you sure? Deleting configuration '{0}' will also delete the following configurations: '{1}'.,本当によろしいですか？ 構成 '{0}' を削除すると、次の構成も削除されます: '{1}'。,,Warning about deleting a configuration deleting child configs
Configurations_DeleteError,Cannot delete configuration '{0}',構成 '{0}' を削除できません,,Cannot delete a configuration error message
Configurations_DuplicateEntryError,Cannot duplicate existing configuration name,すでに存在する構成名は複製できません,,Configuration name cannot be duplicated error message
Configurations_InvalidLicenseError,Cannot create configurations with GameMaker Studio 2 Trial,GameMaker Studio 2 Trial では構成を作成できません,,Cannot create configurations with the Trial version of GameMaker Studio 2 error message
Configurations_InvalidNameError,The configuration name '{0}' is not valid,構成名 '{0}' は無効です,,Configuration name provided is invalid
Configurations_Manage,Manage Configurations,構成の管理,,Manage Configurations window title
Configurations_NameEmptyError,New configuration name cannot be empty,新しい構成名は空にすることができません,,Configuration name cannot be empty error message
Configurations_NewName,New Configuration Name,新規構成ファイル,,New configuration label
Configurations_Parent,Parent Configuration,親構成,,Choose parent configuration label
Configurations_Promote,Promote,昇格,,Promotion of a config up the config hierarchy
Configurations_Rename,Rename Configuration,構成名の変更,,Rename configuration
Configurations_RenameError,Cannot rename '{0}' configuration,構成 '{0}' の名前を変更できません,,Configuration name cannot be renamed error message
Configurations_ConfirmPromote,Are you sure? Promoting a configuration cannot be undone,本当によろしいですか？ 構成の昇格は元に戻せません,,Confirm the user really wants to promote a config
ContextMenu_AddMenuEntry,Add Menu Entry,メニュー項目の追加,,Context menu option to add a menu entry at the end of the context menu
ContextMenu_AddMenuEntryAfter,Add Menu Entry Below,メニュー項目を下へ追加,,Context menu option to add a menu entry below the selected entry
ContextMenu_AddMenuEntryBefore,Add Menu Entry Above,メニュー項目を上へ追加,,Context menu option to add a menu entry above the selected entry
ContextMenu_AddMenuSeparatorAfter,Add Menu Separator Below,メニュー セパレーターを下へ追加,,Context menu option to add a separator below the selected entry
ContextMenu_AddMenuSeparatorBefore,Add Menu Separator Above,メニュー セパレーターを上へ追加,,Context menu option to add a separator above the selected entry
ContextMenu_AddSubMenuEntry,Add Sub Menu Entry,サブ メニュー項目の追加,,Context menu option to add a sub menu entry at the end of the context menu
ContextMenu_AddSubMenuEntryAfter,Add Sub Menu Entry Below,サブ メニュー項目を下へ追加,,Context menu option to add a sub menu entry before the selected entry
ContextMenu_AddSubMenuEntryBefore,Add Sub Menu Entry Above,サブ メニュー項目を上へ追加,,Context menu option to add a sub menu entry after the selected entry
ContextMenu_MoveEntryDown,Move Menu Item Down,メニュー項目を下へ移動,,Context menu option to move a menu entry or separator down
ContextMenu_MoveEntryUp,Move Menu Item Up,メニュー項目を上へ移動,,Context menu option to move a menu entry or separator up
Dialog_AreYouSure,Are you sure?,本当によろしいですか？,,"Generic ""Are you sure?"" dialog message"
Dialog_Confirm,Confirm,確定,,"Dialog ""confirm"" heading"
Dialog_DeleteEvent_Query,Are you sure you want to remove the event with all its actions?,イベントに含まれるすべてのアクションが削除されます。よろしいですか？,,Delete event dialog confirmation query
Dialog_CutEvent_Query,Are you sure you want to cut the selected event?,選択されているイベントを切り取りしますか？,,Cut event dialog confirmation query
Dialog_DeleteEvent_Query_Multiple,Are you sure you want to remove {0} events with all their actions?,イベント {0} に含まれるすべてのアクションも削除されます。よろしいですか？,,Delete multiple event dialog confirmation query
Dialog_DeleteFrame_Query,Delete the selected frames?,選択されているフレームを削除しますか？,,image editor delete frames confirm query
Dialog_PasteEvent_NotReady,The event is still being copied. Please try pasting again in a few seconds.,イベントのコピー中です。数秒後に再度貼り付けしてみてください。,,Not ready to paste yet message
Dialog_DontShowAgain,Don't show this message again,今後はこのメッセージを表示しない,,Message next to checkbox to allow the user to choose not to see this popup in future
Dialog_Error,Error,エラー,,error dialog title
Dialog_NotReady,Not Ready,準備中,,not ready dialog title
Dialog_Success,Success,成功,,success dialog title
Dialog_Invalid,Invalid,無効,,Dialog caption text for invalid input
Dialog_InvalidInput,Invalid input. Please provide the required information.,無効な入力です。必要な情報を入力してください。,,A dialog message for invalid input in dialogs
Dialog_SaveChangesToX,Save the changes to {0}?,{0} の変更を保存しますか？,,Save changes to X query
Dialog_Warning,Warning,警告,,"Dialog ""Warning"" title"
DialogEditor_AddContextMenu,Add Context Menu,コンテキスト メニューの追加,,Context menu option to add a context menu to the selected gadget
DialogEditor_Cell,Grid Cell,グリッド セル,,Layout Hierarchy heading for a grid cell group
DialogEditor_ChildGadgets,Child Gadgets,子ガジェット,,Layout Hierarchy heading for a child gadgets group
DialogEditor_ChildWindows,Child Windows,子ウィンドウ,,Layout Hierarchy heading for a child windows group
DialogEditor_ClearLayoutList,Clear List,リストのクリア,,Button label for clearing the open layout list
DialogEditor_Client,Client Panel,クライアント パネル,,Layout Heirarchy heading for a client panel (window or tab)
DialogEditor_ClippedGadget,Clip To Parent,親へクリップ,,context menu option for setting if a gadget is clipped within its parent or not
DialogEditor_ColourDialog,Colour Dialog,カラー ダイアログ,,layout hierarchy label for a colour dialog window
DialogEditor_ColourSelected,Selected Colour Display,選択されている色,,layout hierarchy label for the selected colour display
DialogEditor_ColumnSplitter,Grid Column Splitter,グリッド列セパレーター,,Layout Heirarchy heading for a grid column splitter
DialogEditor_ColumnDockSplitter,Grid Column Dock Splitter,グリッド列ドックセパレーター,,Layout Heirarchy heading for a grid column dock splitter
DialogEditor_RowDockSplitter,Grid Row Dock Splitter,グリッド行ドックセパレーター,,Layout Heirarchy heading for a grid row dock splitter
DialogEditor_GridSplitter,Grid Splitter,グリッド セパレーター,,gadget properties heading for a grid splitter
DialogEditor_DockSplitter,Grid Dock Splitter,グリッド ドッキングセパレーター,,gadget properties heading for a grid dock splitter
DialogEditor_ContextMenu,Context Menu,コンテキスト メニュー,,Layout Heirarcy heading for a context menu
DialogEditor_CopyGadget,Copy Gadget,ガジェットのコピー,,menu entry for copying a gadget to clipboard
DialogEditor_CutGadget,Cut Gadget,ガジェットの切り取り,,menu entry for cutting a gadget to clipboard
DialogEditor_DeleteGadget,Delete Gadget,ガジェットの削除,,menu entry for deleting the currently highlighted gadget
DialogEditor_DeleteLayout,Delete Layout,レイアウトの削除,,Dialog editor delete layout menu entry
DialogEditor_DeleteLayout_AreYouSure,Are you sure you want to delete this layout?,レイアウトを削除しますか？,,Check the user really wants to delete the layout
DialogEditor_DuplicateLayoutName,Dialog Editor: Duplicate Layout Name,ダイアログ エディター: レイアウト名の複製,,log prompt for user to indicate the layout name is already in use
DialogEditor_DuplicateStyleName,A duplicate of stylename '{0}' was found in\n'{1}'\nthe style will continue to be saved in\n'{2}',{1}'\nでスタイル名 '{0}' の重複が見つかりました。スタイルは引き続き\n'{2}'\nへ保存されます。,,warning message that a duplicate of a style name was found but will be ignored
DialogEditor_Error,Error,エラー,,dialog editor error box title
DialogEditor_FailedToOpenJSON,Dialog Editor: Failed to open .json file: '{0}',ダイアログ エディター: .json ファイルを開けませんでした: '{0}',,The .json file selected failed to load
DialogEditor_FileBrowse,Browse...,ファイル...,,browse for filepath
DialogEditor_FileName,File name:,ファイル名:,,layout file name
DialogEditor_FlattenSubLayout,Flatten SubLayout,サブレイアウトの平滑化,,Context menu/menu bar entry for flattening a sub layout within a layout hierarchy
DialogEditor_Gadgets,Gadgets,ガジェット,,Layout Hierarchy heading for a gadgets group
DialogEditor_GUIBase,GUI Base,GUI ベース,,gadget properties heading for properties coming from the GUIBase class
DialogEditor_GUIStyle,Style,スタイル,,Gadget properties heading for the guistyle class properties
DialogEditor_Hierarchy,Layout Hierarchy,レイアウト階層,,the title for the layout hierarchy window
DialogEditor_HighlightedGadgetInfo,"relative position: ({0}px, {1}px) dimension: ({2}px, {3}px)","相対位置: ({0}px, {1}px) サイズ: ({2}px, {3}px)",,display position and dimension of the currently highlighted gadget
DialogEditor_HSVTextEntry,HSV Input,HSV 入力,,layout hierarchy label for the HSV input boxes
DialogEditor_InvalidJSON,The style '{0}' is not a valid json primitive. Please amend or revert the style. No changes will be saved.,スタイル '{0}' の JSON 構造は無効です。スタイルを修正するか元に戻してください。変更は保存されません。,,Error message when the user attempts to save a broken json style
DialogEditor_LabelAndIconCollection,Name And Icon,名前 & アイコン,,Gadget properties heading for the LabelAndIcon class properties
DialogEditor_Layout,Layout,レイアウト,,Gadget properties heading for the basic layout properties group
DialogEditor_LayoutName,Layout name:,レイアウト名:,,layout name
DialogEditor_ListBoxItems,List Items,リスト項目,,The layout hierarchy label for the list items
DialogEditor_LoadLayoutXML,Load Layout File,レイアウト ファイルの読み込み,,Button prompt for loading a layout xml file
DialogEditor_MenuBarEntry,Menu Bar Entry,メニュー バー項目,,layout hierarchy label for menubarentry gadget
DialogEditor_MenuEntry,Menu Entry,メニュー項目,,Layout Hierarchy heading for a menu entry
DialogEditor_NewLayout,New Layout,新規レイアウト,,Dialog editor new layout menu entry
DialogEditor_Node,Tree View Node,ツリー ビュー ノード,,Tree view node label in the gadget layout hierarchy
DialogEditor_NoJSONSelected,Dialog Editor: No JSON File Selected,ダイアログ エディター: JSON ファイルは選択されていません,,There was no .json file selected by the user
DialogEditor_NoLayoutSelected,Dialog Editor: No Layout Selected,ダイアログ エディター: レイアウトは選択されていません,,log prompt for user to indicate no layout was selected
DialogEditor_NoXMLSelected,Dialog Editor: No XML File Selected,ダイアログ エディター: XML ファイルは選択されていません,,log prompt for user to indicate no xml file was selected
DialogEditor_OpenLayout,Open Layout,レイアウトを開く,,Dialog editor open layout menu entry
DialogEditor_OverridingStyleFile,The style name '{0}' is currently registered to\n'{2}'\nbut will now be saved to\n'{1}',スタイル名 '{0}' は現在\n'{2}'\nに保存されていますが、\n'{1}'\nに保存されます。,,Message when the user overrides a styles save file
DialogEditor_PasteGadget,Paste Gadget,ガジェットの貼り付け,,menu entry for pasting a gadget from clipboard
DialogEditor_Properties,Gadget Layout Properties,ガジェット レイアウトのプロパティ,,the title for the layout properties window
DialogEditor_RadioGroup,Radio Button Group,ラジオ ボタン グループ,,Layout hierarchy display name for radio button group
DialogEditor_ReloadImages,Reload Images,画像の再読み込み,,menu bar entry for reloading all images in the dialog editor
DialogEditor_RemoveTestLayout,Remove Active Test Layouts,アクティブなテスト レイアウトの削除,,Menu option to remove any active test layout windows from the dialog editor
DialogEditor_RevertAllStyles,Revert All Styles To Last Save,すべてのスタイルを前回保存した状態へ戻す,,Revert the all the currently open styles to version on disk
DialogEditor_RevertAllStylesToOriginal,Revert All Styles To Original State,すべてのスタイルをオリジナルへ戻す,,Revert the all the currently open styles to version of unmodified file on disk
DialogEditor_RevertStyle,Revert Style To Last Save,スタイルを前回保存した状態へ戻す,,Revert the currently active style to version on disk
DialogEditor_RevertStyleToOriginal,Revert Style To Original State,スタイルをオリジナルへ戻す,,Revert the currently active style to version of unmodified file on disk
DialogEditor_RGBATextEntry,RGBA Input,RGBA 入力,,layout hierarchy label for the RGBA input boxes
DialogEditor_RowSplitter,Grid Row Splitter,グリッド行セパレーター,,Layout Heirarchy heading for a grid row splitter
DialogEditor_SaveAllStyles,Save All Styles,すべてのスタイルを保存,,Menu option to save all open styles to file
DialogEditor_SaveAsLayout,Save Layout As...,名前をつけてレイアウトを保存,,Dialog editor save as layout menu entry
DialogEditor_SaveFailed,Dialog Editor: Save failed due to error: {0} - {1},ダイアログ エディター: 次のエラーにより保存できませんでした: {0} - {1},,lop propmt for user to indicate the save failed
DialogEditor_SaveLayout,Save Layout,レイアウトの保存,,Dialog editor save layout menu entry
DialogEditor_SaveStyle,Save Style,スタイルの保存,,Menu option to save a style to file
DialogEditor_SaveStyleAs,Save Style As...,名前をつけてスタイルを保存,,Menu option to save a style to a different file or with a different name
DialogEditor_ScrollPanel,Scroll Panel,スクロール パネル,,layout hierarchy display name for scroll panel
DialogEditor_SelectContextMenu,Edit Context Menu,コンテキスト メニューの編集,,Context menu option to select the context menu for the selected gadget so it can be edited
DialogEditor_SelectSaveFile,Select the file to save the style to. If the file doesn't already contain the style definition it will search all files within its folder.\nUse 'Save Style As...' to explicitly override save file,スタイルを保存するファイルを選択します。ファイルにスタイル定義が含まれていない場合は、フォルダー内のすべてのファイルを検索します。明示的にファイルを上書きする場合は、'名前をつけて保存' を使用してください。,,Information about selecting a save file. Informs the user that if the file they have chosen doesn't already include the stylename it will search for the file that does inside the parent folder
DialogEditor_StyleEditor,Style Editor,スタイル エディター,,the title for the style editor window
DialogEditor_StyleName,Style name:,スタイル名:,,style name
DialogEditor_StyleNotFound,The style wasn't found in this folder. It will append to the selected file unless an alternative is selected.,フォルダ内にスタイルが見つかりませんでした。ほかのスタイルを選択しない限り、選択したファイルへ保存されます。,,Warning message that the style wasnt' found so it will be appended to the end of the given style instead
DialogEditor_SubMenuEntry,Sub Menu Entry,サブ メニュー項目,,Layout hierarchy label for a sub menu entry
DialogEditor_TabControl,Tab Control Panel,タブ コントロール パネル,,Gadget toolbox display name for tab control
DialogEditor_TabItem,Tab,タブ,,Layout Heirarchy heading for a tab
DialogEditor_TestLayout,Test Layout,テスト レイアウト,,Dialog editor test layout menu entry
DialogEditor_Title,Dialog Editor,ダイアログ エディター,,title for the dialog editor window
DialogEditor_Toolbox,Gadget Toolbox,ガジェット ツールボックス,,title for the gadget toolbox window
DialogEditor_TreeViewNode,TreeViewNode,ツリー ビュー ノード,,Dialog editor TreeViewNode
DialogEditor_Warning,Warning,警告,,warning message box title
Edit_Menu_FindResource,Find Resource,リソースを探す,,"Edit menu ""FindResource"""
Edit_Menu_Redo,Redo,やり直し,,Redo menu entry
Edit_Menu_Search,Search & Replace,検索 & 置換,,"Edit menu ""Search & Replace"""
Edit_Menu_Undo,Undo,元に戻す,,Undo menu entry
Error_AnimBlendClone,{0} does not implement ICloneable,{0} は ICloneable を実装していません,,Any class that is used in the animation system must implement ICloneable
Error_CursorManagerDuplicateName,Attempting to add a cursor using image {1} with duplicated id {0} please assign a different name,ID {0} が重複する画像 {1} をカーソルに割り当てようとしています。別の名前を割り当ててください。,,Multiple cursors have been added with the same reference name
Error_CursorManagerFailedLoad,Attempted to load cursor {1} but received error '{0}',カーソル {1} を読み込もうとしましたが、エラー '{0}' を受け取りました,,File load failed for cursor image
Error_CursorManagerLoadingInfoMissing,Attempting to load cursor {0} but can't find loading info,カーソル {0} を読み込もうとしましたが、読込情報が見つかりませんでした,,The loading callback for a cursor can't find the loading hotspot info
Error_GadgetToolboxFailedLoad,Attempted to load gadget toolbox info but received error '{0}' - '{1}',ガジェット ツールボックスの情報を読み込もうとしましたが、エラー '{0}' - '{1}' を受け取りました,,Failed to load the gadget toolbox list
Error_GadgetToolboxInvalidGadget,Attempted to add gadget '{0}' to toolbox but it isn't registered with the layout manager ,ガジェット '{0}' をツールボックスに追加しようとしましたが、レイアウト マネージャーに登録されていませんでした,,Invalid gadget specified in gadget toolbox list
Error_Cursors,Cursor Error,カーソル エラー,,Cursor error warning title
Error_GUILayout_AnchorRequiresParentPos,"A parent reliant anchor (bottom or right) has been set with no parent gadget, try setting the dimension instead",親へ依存するアンカー (下または右) に親ガジェットが指定されていません。かわりにサイズを指定してみてください,,Attempted to use an bottom or right anchor when there is no parent gadget to base the position upon
Error_GUILayout_DimensionAndBothAnchors,"A dimension input has been set along with both the associated anchors, the dimension input will be ignored",関連するアンカーの両方にサイズが指定されています。サイズ指定は無視されます,,"Both the dimension and the associated anchors have been set (for instance width, top and bottom) the dimension will be calculated from the anchors not the dimension input"
Error_GUILayout_FailedCalculatePosition,"Cannot calculate actual position of gadget, too few anchors and/or dimensions are set",ガジェットの実際の位置を算出できませんでした。指定されているアンカーやサイズが小さすぎます,,Gadget requires at least one anchor or the dimension to be set for each direction
Error_GUILayout_PercentageRequiresParentDimension,"An anchor or dimension has been set to percentage with no parent gadget, try using pixel instead",親ガジェットの指定されていないアンカーまたはサイズにパーセンテージ値が指定されています。かわりにピクセル値を指定してみてください,,Attempted to use percentage style values when there is no parent gadget to base it upon
Error_ProjectLoadFailure,Project load failed. Unable to load {0},プロジェクトの読み込みに失敗しました。{0} を読み込めませんでした,,Project load failure
Error_ProjectTooNew,"This project requires a newer version of the IDE and so will not be loaded. Please update your IDE to at least the version used to create the project, then try opening it again.",IDE のバージョンが古かったため、プロジェクトを読み込めませんでした。プロジェクトを作成したバージョンかそれ以上のバージョンへIDEをアップデートしてから再度開いてみてください。,,Error message for loading in a project created in a newer version
Error_StyleNotFound,"Can not set requested style, not found",要求されたスタイルが見つからなかったため、適用できません,,Trying to set a style when it hasn't been loaded/found
Error_WeakDelegateArgument,Method '{1}' on object '{0}' failed because {2},{2} により、オブジェクト {0} のメソッド {1} を実行できませんでした,,Attempting to invoke a method from within a weak delegate with incorrect arguments
Error_WeakDelegateParameterCount,Method '{1}' on object '{0}' failed due to mismatching parameter count,パラメーターの数が一致しないため、オブジェクト {0} のメソッド {1} を実行できませんでした,,Attempting to invoke a method from within a weak delegate with incorrect parameter count
Event_Alarm,Alarm,アラーム,,Alarm event name
Event_AlarmN,Alarm {0},アラーム {0},,Key Event Alarm N
Event_Async_AudioPlayback,Async - Audio Playback,非同期 - オーディオの再生,,Asynchronous event subtype
Event_Async_AudioRecording,Async - Audio Recording,非同期 - オーディオの録音,,Asynchronous event subtype
Event_Async_Cloud,Async - Cloud,非同期 - クラウド,,Asynchronous event subtype
Event_Async_Dialog,Async - Dialog,非同期 - ダイアログ,,Asynchronous event subtype
Event_Async_HTTP,Async - HTTP,非同期 - HTTP,,Asynchronous event subtype
Event_Async_IAP,Async - In-App Purchase,非同期 - アプリ内課金,,Asynchronous event subtype
Event_Async_ImageLoaded,Async - Image Loaded,非同期 - 画像の読み込み,,Asynchronous event subtype
Event_Async_Networking,Async - Networking,非同期 - ネットワーク接続,,Asynchronous event subtype
Event_Async_PushNotification,Async - Push Notification,非同期 - プッシュ通知,,Asynchronous event subtype
Event_Async_SaveLoad,Async - Save/Load,非同期 - セーブ/ロード,,Asynchronous event subtype
Event_Async_Social,Async - Social,非同期 - ソーシャル,,Asynchronous event subtype
Event_Async_Steam,Async - Steam,非同期 - Steam,,Asynchronous event subtype
Event_Async_SystemEvent,Async - System,非同期 - システム,,Asynchronous event subtype
Event_Asynchronous,Asynchronous,非同期,,Asynchronous event name
Event_Collision,Collision,衝突,,Collision event name
